FORE_data,t2m,rh2m,w10m
90001_00,13.37107862014544,55.64961577657843,1.8216062399206878
90001_01,14.670887555764219,52.407489473215165,1.6914959696717233
90001_02,15.770243825970791,48.2023147067585,1.7893741108573693
90001_03,16.81460662600047,45.03731470675849,2.3215378606186112
90001_04,16.86491429410913,43.45881356076527,2.3236451493717616
90001_05,16.43136526333956,43.630813560765276,1.8260863481784133
90001_06,15.831845612924093,54.15845252588522,1.1741468589984432
90001_07,12.79664559387708,63.02415010918614,1.139725429143387
90001_08,11.309264030619548,67.12246620463414,1.301138054940925
90001_09,9.633173082178493,72.06951219843238,1.2724075749452648
90001_10,9.021763457180246,73.93151219843237,1.3350388882702664
90001_11,9.700010547267246,75.01091427713222,1.717501488498258
90001_12,9.782024949817838,80.15591427713221,1.856684615862944
90001_13,9.828097132786322,82.44980654183756,1.8303749911222993
90001_14,9.100608361250057,82.99539872358837,1.6106418132232212
90001_15,9.312931703560032,82.95339872358836,1.6618215631684805
90001_16,8.869007040750816,82.63380654183756,1.664013011030275
90001_17,8.232823072577144,81.04080654183755,1.5452791158908146
90001_18,8.557635238983591,79.53539872358837,1.3723350892600208
90001_19,8.227791632918272,76.44439872358836,1.6961034900043774
90001_20,8.013765167377077,72.93343378362715,1.3342899374258543
90001_21,8.489116634330845,80.53816499524683,1.33500925701819
90001_22,9.474244416757656,77.24954584345873,1.3108941844971365
90001_23,11.021254375455394,68.98312442756415,1.3747470395557118
90001_24,10.8439600800987,74.1012435838502,1.0985394751796071
90001_25,11.277742760674325,80.78885629410243,1.2224734651595457
90001_26,11.398615521485375,83.51747962435778,1.4157012779422713
90001_27,10.444454426060512,82.32016070266442,1.3927477172170026
90001_28,10.636510454332425,82.79941002123586,1.5393800495687167
90001_29,9.557655611879678,79.97912720352411,1.3945623987166305
90001_30,9.607054036624229,76.87418972479955,1.420566243014136
90001_31,8.408143284869258,84.11792890567044,1.260674699035338
90001_32,7.8927878463798935,83.23784291629758,1.416844848491647
90001_33,7.115987543328366,83.41670780846857,1.4831168929969356
90001_34,6.966024984096485,80.94431729185528,1.1592072929017994
90001_35,6.467713625561357,77.6994255959198,1.3502698996059443
90001_36,6.370614030272137,80.22931729185528,1.2880439806482247
90002_00,13.932760049314108,51.672793048340665,1.4622162625057857
90002_01,13.981841567582238,54.531954648944925,1.471481522833576
90002_02,15.075863782838736,51.73522125018421,1.6448619410663954
90002_03,15.991554396532448,50.050522268676325,2.1035132577030704
90002_04,16.434138940348678,47.22235281741167,1.8909416919192483
90002_05,16.460241532329576,45.34317657308679,1.8721968162973233
90002_06,15.518208797346677,53.265172079768035,1.3953789706170532
90002_07,13.648099949397375,62.07823509941715,1.069774014095509
90002_08,11.114629528914797,74.3329392503111,1.0640901113889982
90002_09,10.719992698125175,76.57391427713222,1.0926715247792416
90002_10,10.402276109296647,79.3499142771322,1.0190811614778543
90002_11,9.527242167118374,79.38491427713221,1.095076507223081
90002_12,8.888949414104097,83.0349142771322,0.9813757690178335
90002_13,9.707586256518775,82.14065566565064,1.0212348528551605
90002_14,9.600076084295418,84.36258791033485,1.0508896319221983
90002_15,10.144282516104102,92.6681802619915,1.1205461449497713
90002_16,9.62768480993789,90.36892547841005,1.1684804888057032
90002_17,9.141318453807706,86.1529254784101,1.2239623389304404
90002_18,8.820748372192071,87.5371802619915,0.9898500455490187
90002_19,8.31474207875965,84.00620338995822,0.9814750913553398
90002_20,8.93953689845699,84.24733594287571,0.97925958956219
90002_21,9.581727357033259,83.88885695342586,1.2447640662430788
90002_22,10.532374658847917,79.24034850774692,1.417294253153525
90002_23,10.796860094072885,78.72834449884695,1.4447597702851729
90002_24,10.52791439010095,82.7981036141692,1.8748187050901235
90002_25,10.881862957755912,84.28449060297407,2.1650844641877347
90002_26,11.23816022205351,85.5365968894054,2.092350374369791
90002_27,10.285191736496781,83.54342757746323,1.970453506404877
90002_28,10.567181494704375,82.37716070266443,2.0224164463378287
90002_29,9.958757204314862,82.15952535848507,1.8888725145560958
90002_30,9.623926483130942,83.81028786447172,1.7635829220718269
90002_31,8.72481460115798,84.71277288158083,1.5496584301432446
90002_32,8.089575432677902,87.25613151919583,2.024021933588906
90002_33,7.60805426790206,86.32457703393791,1.5672758826607904
90002_34,7.65774573370096,84.23720064727478,1.5053986664647698
90002_35,7.6725533917015,85.43949125244153,1.4347526972776274
90002_36,7.398275400735292,85.54949125244153,1.4449437714666058
90003_00,12.605469593892977,50.00661577657843,1.8167230355874517
90003_01,13.640399574561995,46.937444162267276,3.1635119426891056
90003_02,14.519636714549058,45.839744523352785,3.6566408277723785
90003_03,15.594841316021665,45.05665749057421,4.398742364141107
90003_04,14.604408343012054,47.16462879692823,4.270805863723421
90003_05,13.981163912926567,51.44174452335278,4.068788706104183
90003_06,13.410131485516882,60.01512072173904,2.8779395567917394
90003_07,12.04008264396122,63.62317418872927,2.1178757628326452
