FORE_data,t2m,rh2m,w10m
90001_00,14.671431777346832,63.903256652065174,1.4486435574258891
90001_01,13.331905698801208,56.95277204508267,1.635810407012409
90001_02,14.960444584228085,52.56835382461826,1.8133705948770635
90001_03,15.959211099405714,49.47763507877745,2.205517200266284
90001_04,16.93458971908143,45.76865293727154,2.7859580082518955
90001_05,16.957992961868907,42.62824894450962,2.191025923399636
90001_06,14.224684552223195,53.94981278171259,1.280904169601198
90001_07,12.705241464996343,63.32586430430885,1.197427012379481
90001_08,10.67579669337897,68.68730703737114,1.322443849455357
90001_09,10.312829186885972,70.40276958206258,1.5365224108742122
90001_10,9.623780409145866,74.21368168362937,1.5359578307731145
90001_11,10.322353548297363,73.57674986650758,1.8245657905618686
90001_12,9.975406113801313,80.26257160041489,1.8077113208535525
90001_13,9.729544223922144,82.43673561294082,1.9547815906503647
90001_14,9.389497425876067,83.21900194515364,1.7188007642856409
90001_15,9.918186163953644,84.44663842624925,1.9674916740352537
90001_16,9.662779517814137,86.37584882943236,1.704448924472723
90001_17,9.911757158823052,85.58564627972885,1.812197951542594
90001_18,10.044030839973725,85.18596478674394,1.6856190509044948
90001_19,10.330109678948357,80.45809582704851,1.7622345649166635
90001_20,9.89565427464035,79.39847722726752,1.5630526753587657
90001_21,9.443051771780386,82.02692425654638,1.3054997258175978
90001_22,9.624555743650998,76.64324465295005,1.4491311947998198
90001_23,10.565002497395856,70.79219392568692,1.580915393931308
90001_24,10.369473863683456,73.17784468497175,1.2850453982072811
90001_25,10.419735031690845,77.08102565840508,1.3531572163463155
90001_26,9.925134230969185,78.20823500280453,1.4933285597292048
90001_27,9.982372727658195,75.0740122191155,1.5032238000558689
90001_28,9.113009001270962,78.24582796617557,1.6916534112839676
90001_29,8.755151163560026,77.0104228614159,1.7522648722902674
90001_30,8.146017621923786,72.38962374286152,1.7382608936707211
90001_31,8.27206636271912,79.58770031911459,1.3881683210628992
90001_32,6.897451572864598,82.47660897290297,1.2505408986988678
90001_33,6.670817274960637,83.93111952665447,1.3613943140252234
90001_34,5.724462933488418,84.25333364787234,1.1814547853288406
